	Kingdom	Phylum	Class	Order	Family	Genus
SIP571	Archaea	Thaumarchaeota	Marine_Benthic_Group_A	Not_annotated	Not_annotated	Not_annotated
SIP572	Bacteria	Cyanobacteria	Chloroplast	Not_annotated	Not_annotated	Not_annotated
SIP573	Bacteria	Proteobacteria	Gammaproteobacteria	Not_annotated	Not_annotated	Not_annotated
SIP574	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	Not_annotated
SIP575	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	Not_annotated
SIP576	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group
SIP577	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	Not_annotated
SIP578	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	FS140-16B-02_marine_group
SIP579	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Pir4_lineage
SIP580	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Maricaulis
SIP581	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	Not_annotated
SIP582	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	Not_annotated
SIP583	Bacteria	Acidobacteria	Subgroup_26	Not_annotated	Not_annotated	Not_annotated
SIP584	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	Not_annotated
SIP585	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Tamlana
SIP586	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacter
SIP587	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade3	SAR202_Clade3	SAR202_Clade3
SIP588	Bacteria	Marinimicrobia_(SAR406_clade)	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP589	Bacteria	Proteobacteria	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP590	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Not_annotated
SIP591	Bacteria	Verrucomicrobia	Arctic97B-4_marine_group	Not_annotated	Not_annotated	Not_annotated
SIP592	Bacteria	Proteobacteria	Gammaproteobacteria	Order_Incertae_Sedis	Family_Incertae_Sedis	Marinicella
SIP593	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Not_annotated
SIP594	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	Not_annotated
SIP595	Bacteria	Proteobacteria	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP596	Bacteria	Acidobacteria	Acidobacteria	Subgroup_21	Not_annotated	Not_annotated
SIP597	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	Not_annotated
SIP598	Bacteria	Not_annotated	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP599	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	Not_annotated
SIP600	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
SIP601	Bacteria	Marinimicrobia_(SAR406_clade)	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP602	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Litoreibacter
SIP603	Bacteria	Planctomycetes	Pla3_lineage	Not_annotated	Not_annotated	Not_annotated
SIP604	Archaea	Thaumarchaeota	Marine_Group_I	Not_annotated	Not_annotated	Not_annotated
SIP605	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichales_Incertae_Sedis	Candidatus_Endoecteinascidia
SIP606	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	Not_annotated
SIP607	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Reichenbachiella
SIP608	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	Spongiibacter
SIP609	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Tatumella
SIP610	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	Not_annotated
SIP611	Bacteria	Acidobacteria	Acidobacteria	Subgroup_6	Not_annotated	Not_annotated
SIP612	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Urania-1B-19_marine_sediment_group
SIP613	Bacteria	Chloroflexi	JG30-KF-CM66	Not_annotated	Not_annotated	Not_annotated
SIP614	Archaea	Thaumarchaeota	Marine_Group_I	Not_annotated	Not_annotated	Not_annotated
SIP615	Bacteria	Marinimicrobia_(SAR406_clade)	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP616	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	OM60(NOR5)_clade
SIP617	Bacteria	Proteobacteria	Alphaproteobacteria	OCS116_clade	Not_annotated	Not_annotated
SIP618	Archaea	Thaumarchaeota	pSL12	Not_annotated	Not_annotated	Not_annotated
SIP619	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Not_annotated
SIP620	Bacteria	Proteobacteria	Alphaproteobacteria	OCS116_clade	Not_annotated	Not_annotated
SIP621	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Marine_Group_II	Not_annotated
SIP622	Bacteria	Planctomycetes	OM190	Not_annotated	Not_annotated	Not_annotated
SIP623	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Litoricolaceae	Litoricola
SIP624	Bacteria	Verrucomicrobia	Opitutae	Puniceicoccales	Puniceicoccaceae	Coraliomargarita
SIP625	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	OM60(NOR5)_clade
SIP626	Archaea	Thaumarchaeota	Marine_Group_I	Not_annotated	Not_annotated	Not_annotated
SIP627	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AT-s3-44	Not_annotated
SIP628	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	Not_annotated
SIP629	Bacteria	Proteobacteria	Alphaproteobacteria	OCS116_clade	Not_annotated	Not_annotated
SIP630	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OM1_clade	Candidatus_Actinomarina
SIP631	Archaea	Thaumarchaeota	Marine_Benthic_Group_A	Not_annotated	Not_annotated	Not_annotated
SIP632	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	Not_annotated
SIP633	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Not_annotated	Not_annotated
SIP634	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	Not_annotated
SIP635	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Defluviicoccus
SIP636	Bacteria	Cyanobacteria	ML635J-21	Not_annotated	Not_annotated	Not_annotated
SIP637	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ib	Not_annotated
SIP638	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	Not_annotated
SIP639	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Not_annotated
SIP640	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OM1_clade	Candidatus_Actinomarina
SIP641	Bacteria	Planctomycetes	OM190	Not_annotated	Not_annotated	Not_annotated
SIP642	Bacteria	Acidobacteria	Acidobacteria	Subgroup_6	Not_annotated	Not_annotated
SIP643	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Fabibacter
SIP644	Bacteria	Verrucomicrobia	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP645	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Marine_Group_II	Not_annotated
SIP646	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS2b_marine_group
SIP647	Bacteria	Proteobacteria	Alphaproteobacteria	Not_annotated	Not_annotated	Not_annotated
SIP648	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade1	SAR202_Clade1	SAR202_Clade1
SIP649	Bacteria	Not_annotated	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP650	Bacteria	Proteobacteria	Gammaproteobacteria	E01-9C-26_marine_group	Not_annotated	Not_annotated
SIP651	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Salinisphaeraceae	ZD0417_marine_group
SIP652	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade2	SAR202_Clade2	SAR202_Clade2
SIP653	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Not_annotated
SIP654	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	Not_annotated
SIP655	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia
SIP656	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Aestuariibacter
SIP657	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	Not_annotated
SIP658	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	Not_annotated
SIP659	Archaea	Thaumarchaeota	Marine_Group_I	Not_annotated	Not_annotated	Not_annotated
SIP660	Archaea	Thaumarchaeota	Marine_Group_I	Not_annotated	Not_annotated	Not_annotated
SIP661	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade2	SAR202_Clade2	SAR202_Clade2
SIP662	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Planctomyces
SIP663	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade5	SAR202_Clade5	SAR202_Clade5
SIP664	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ia	Not_annotated
SIP665	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group
SIP666	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade	SAR202_Clade	SAR202_Clade
SIP667	Bacteria	Chloroflexi	Thermomicrobia	JG30-KF-CM45	Not_annotated	Not_annotated
SIP668	Bacteria	Cyanobacteria	Chloroplast	Not_annotated	Not_annotated	Not_annotated
SIP669	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Not_annotated
SIP670	Bacteria	Not_annotated	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP671	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AT-s3-44	Not_annotated
SIP672	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Not_annotated
SIP673	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade5	SAR202_Clade5	SAR202_Clade5
SIP674	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	OM75_clade
SIP675	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Marine_Group_II	Not_annotated
SIP676	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Marine_Group_III	Not_annotated
SIP677	Bacteria	Marinimicrobia_(SAR406_clade)	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP678	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Marine_Group_II	Not_annotated
SIP679	Bacteria	Not_annotated	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP680	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Mesoflavibacter
SIP681	Bacteria	Not_annotated	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP682	Bacteria	Proteobacteria	Alphaproteobacteria	Not_annotated	Not_annotated	Not_annotated
SIP683	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ruegeria
SIP684	Eukaryota	Not_annotated	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP685	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	Not_annotated
SIP686	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	Not_annotated
SIP687	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	Not_annotated
SIP688	Bacteria	Proteobacteria	Gammaproteobacteria	Order_Incertae_Sedis	Family_Incertae_Sedis	Marinicella
SIP689	Archaea	Thaumarchaeota	Marine_Group_I	Not_annotated	Not_annotated	Not_annotated
SIP690	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus
SIP691	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group
SIP692	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Pseudofulvibacter
SIP693	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Not_annotated
SIP694	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ib	Not_annotated
SIP695	Bacteria	PAUC34f	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP696	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Planctomyces
SIP697	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Blastopirellula
SIP698	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_clade	Not_annotated
SIP699	Archaea	Thaumarchaeota	Marine_Group_I	Not_annotated	Not_annotated	Not_annotated
SIP700	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade	SAR202_Clade	SAR202_Clade
SIP701	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	OM182_clade	Not_annotated
SIP702	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Not_annotated
SIP703	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Rhodopirellula
SIP704	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AT-s3-44	Not_annotated
SIP705	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	Not_annotated
SIP706	Bacteria	Verrucomicrobia	Opitutae	MB11C04_marine_group	Not_annotated	Not_annotated
SIP707	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade2	SAR202_Clade2	SAR202_Clade2
SIP708	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	Not_annotated
SIP709	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Pantoea
SIP710	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Singulisphaera
SIP711	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Not_annotated
SIP712	Bacteria	Spirochaetae	Spirochaetes	Spirochaetales	Spirochaetaceae	Spirochaeta_2
SIP713	Archaea	Thaumarchaeota	Marine_Group_I	Not_annotated	Not_annotated	Not_annotated
SIP714	Bacteria	Cyanobacteria	Chloroplast	Not_annotated	Not_annotated	Not_annotated
SIP715	Bacteria	Acidobacteria	Acidobacteria	Subgroup_6	Not_annotated	Not_annotated
SIP716	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Not_annotated	Not_annotated
SIP717	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
SIP718	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	Not_annotated
SIP719	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS4_marine_group
SIP720	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Marixanthomonas
SIP721	Bacteria	Proteobacteria	Alphaproteobacteria	Sneathiellales	Sneathiellaceae	Not_annotated
SIP722	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella
SIP723	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	Not_annotated
SIP724	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Croceicoccus
SIP725	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	Candidatus_Puniceispirillum
SIP726	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ib	Not_annotated
SIP727	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	FS140-16B-02_marine_group
SIP728	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ia	Not_annotated
SIP729	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade5	SAR202_Clade5	SAR202_Clade5
SIP730	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	Not_annotated
SIP731	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Not_annotated
SIP732	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Sva0996_marine_group	Not_annotated
SIP733	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade1	SAR202_Clade1	SAR202_Clade1
SIP734	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Litorimonas
SIP735	Bacteria	Acidobacteria	Acidobacteria	Subgroup_11	Not_annotated	Not_annotated
SIP736	Archaea	Thaumarchaeota	Marine_Group_I	Not_annotated	Not_annotated	Not_annotated
SIP737	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	Not_annotated
SIP738	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia
SIP739	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Croceibacter
SIP740	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	Not_annotated
SIP741	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Not_annotated
SIP742	Bacteria	Proteobacteria	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP743	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Not_annotated	Not_annotated
SIP744	Bacteria	Proteobacteria	Alphaproteobacteria	Not_annotated	Not_annotated	Not_annotated
SIP745	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	MWH-UniP1_aquatic_group
SIP746	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Oleispira
SIP747	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Labrenzia
SIP748	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium_1
SIP749	Bacteria	Marinimicrobia_(SAR406_clade)	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP750	Bacteria	Planctomycetes	Pla3_lineage	Not_annotated	Not_annotated	Not_annotated
SIP751	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Not_annotated
SIP752	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans
SIP753	Bacteria	Planctomycetes	OM190	Not_annotated	Not_annotated	Not_annotated
SIP754	Bacteria	Verrucomicrobia	Arctic97B-4_marine_group	Not_annotated	Not_annotated	Not_annotated
SIP755	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	Not_annotated
SIP756	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Marinoscillum
SIP757	Bacteria	Marinimicrobia_(SAR406_clade)	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP758	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Prochlorococcus
SIP759	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Marine_Group_II	Not_annotated
SIP760	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade4	SAR202_Clade4	SAR202_Clade4
SIP761	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Methylophaga
SIP762	Archaea	Thaumarchaeota	Marine_Benthic_Group_A	Not_annotated	Not_annotated	Not_annotated
SIP763	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Marine_Methylotrophic_Group_3
SIP764	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Not_annotated
SIP765	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
SIP766	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	Not_annotated
SIP767	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade2	SAR202_Clade2	SAR202_Clade2
SIP768	Bacteria	Not_annotated	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP769	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	Not_annotated	Not_annotated
SIP770	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Not_annotated
SIP771	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Not_annotated
SIP772	Bacteria	Proteobacteria	Gammaproteobacteria	E01-9C-26_marine_group	Not_annotated	Not_annotated
SIP773	Bacteria	PAUC34f	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP774	Archaea	Thaumarchaeota	Marine_Group_I	Not_annotated	Not_annotated	Not_annotated
SIP775	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	Not_annotated
SIP776	Archaea	Thaumarchaeota	Marine_Group_I	Unknown_Order	Unknown_Family	Candidatus_Nitrosopelagicus
SIP777	Bacteria	Not_annotated	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP778	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium
SIP779	Bacteria	Proteobacteria	Alphaproteobacteria	OCS116_clade	Not_annotated	Not_annotated
SIP780	Bacteria	Gracilibacteria	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP781	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	Not_annotated
SIP782	Bacteria	Marinimicrobia_(SAR406_clade)	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP783	Bacteria	Proteobacteria	Alphaproteobacteria	Not_annotated	Not_annotated	Not_annotated
SIP784	Bacteria	Marinimicrobia_(SAR406_clade)	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP785	Bacteria	Marinimicrobia_(SAR406_clade)	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP786	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Aureicoccus
SIP787	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella
SIP788	Bacteria	Marinimicrobia_(SAR406_clade)	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP789	Bacteria	Proteobacteria	Gammaproteobacteria	E01-9C-26_marine_group	Not_annotated	Not_annotated
SIP790	Bacteria	Proteobacteria	Gammaproteobacteria	E01-9C-26_marine_group	Not_annotated	Not_annotated
SIP791	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
SIP792	Bacteria	Planctomycetes	OM190	Not_annotated	Not_annotated	Not_annotated
SIP793	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	Not_annotated
SIP794	Bacteria	Verrucomicrobia	Opitutae	MB11C04_marine_group	Not_annotated	Not_annotated
SIP795	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	Not_annotated
SIP796	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacter
SIP797	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Owenweeksia
SIP798	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
SIP799	Bacteria	Marinimicrobia_(SAR406_clade)	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP800	Bacteria	Bacteroidetes	Cytophagia	Order_III	Unknown_Family	Balneola
SIP801	Bacteria	Acidobacteria	Acidobacteria	Subgroup_6	Not_annotated	Not_annotated
SIP802	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OM1_clade	Candidatus_Actinomarina
SIP803	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Not_annotated
SIP804	Bacteria	Proteobacteria	Gammaproteobacteria	E01-9C-26_marine_group	Not_annotated	Not_annotated
SIP805	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Not_annotated
SIP806	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	Not_annotated
SIP807	Archaea	Thaumarchaeota	Marine_Group_I	Not_annotated	Not_annotated	Not_annotated
SIP808	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Citreicella
SIP809	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	Not_annotated
SIP810	Bacteria	Cyanobacteria	Chloroplast	Not_annotated	Not_annotated	Not_annotated
SIP811	Archaea	Thaumarchaeota	Marine_Group_I	Not_annotated	Not_annotated	Not_annotated
SIP812	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Not_annotated
SIP813	Bacteria	Marinimicrobia_(SAR406_clade)	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP814	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	Not_annotated
SIP815	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	Not_annotated
SIP816	Bacteria	Verrucomicrobia	Opitutae	MB11C04_marine_group	Not_annotated	Not_annotated
SIP817	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	Not_annotated
SIP818	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
SIP819	Bacteria	PAUC34f	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP820	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Thalassobius
SIP821	Bacteria	Not_annotated	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP822	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	FS140-16B-02_marine_group
SIP823	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade4	SAR202_Clade4	SAR202_Clade4
SIP824	Bacteria	Proteobacteria	Gammaproteobacteria	E01-9C-26_marine_group	Not_annotated	Not_annotated
SIP825	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	FS140-16B-02_marine_group
SIP826	Archaea	Thaumarchaeota	Marine_Group_I	Not_annotated	Not_annotated	Not_annotated
SIP827	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	Not_annotated
SIP828	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_IV	Not_annotated
